,date,anxiety,closing,entrepreneur,home,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better
239,2017-08-06,0,0,0,33,0,24,0,0,48,0,0,49,0,0,0,23
240,2017-08-13,0,0,0,37,0,0,25,0,48,0,0,30,0,30,0,0
241,2017-08-20,0,0,0,47,0,26,0,0,31,0,0,34,0,0,0,23
242,2017-08-27,0,0,0,34,0,49,25,0,25,0,0,37,0,0,0,23
243,2017-09-03,0,12,0,32,0,0,25,0,18,0,0,28,0,0,0,0
244,2017-09-10,0,0,0,27,0,0,27,0,35,0,0,20,0,20,0,0
245,2017-09-17,0,0,0,67,0,0,30,0,29,0,0,17,0,0,0,0
246,2017-09-24,0,0,0,30,0,0,34,0,44,0,0,30,0,36,0,0
247,2017-10-01,0,13,0,57,0,25,50,0,25,0,0,17,0,24,0,0
248,2017-10-08,0,0,0,30,0,0,0,0,78,0,0,16,0,22,0,22
249,2017-10-15,0,0,0,61,0,0,0,0,18,0,0,17,0,0,0,0
250,2017-10-22,0,0,0,40,0,27,27,0,33,0,0,61,0,0,0,66
251,2017-10-29,0,11,0,47,0,23,23,0,45,0,0,39,0,22,0,21
252,2017-11-05,0,0,0,43,0,41,23,0,23,0,0,41,0,24,0,22
253,2017-11-12,0,0,0,34,0,29,0,0,49,0,0,33,0,0,0,0
254,2017-11-19,0,0,0,27,0,25,25,0,17,0,0,47,0,70,0,27
255,2017-11-26,0,0,0,18,0,48,0,0,27,0,0,57,0,38,0,0
256,2017-12-03,0,10,0,40,0,42,0,0,21,0,0,32,0,22,0,0
257,2017-12-10,0,12,0,52,0,24,0,0,25,0,0,22,0,49,0,22
258,2017-12-17,0,0,0,41,0,58,22,0,22,0,0,30,0,20,0,0
259,2017-12-24,0,0,0,44,0,33,21,0,16,0,0,41,0,42,0,0
260,2017-12-31,0,0,0,93,0,0,0,0,31,0,0,79,0,51,0,0
