date,tax,entrepreneur,isPartial
2015-05-24,17,1,False
2015-05-31,24,0,False
2015-06-07,19,1,False
2015-06-14,24,1,False
2015-06-21,20,0,False
2015-06-28,19,1,False
2015-07-05,20,0,False
2015-07-12,23,2,False
2015-07-19,15,0,False
2015-07-26,23,1,False
2015-08-02,26,3,False
2015-08-09,25,1,False
2015-08-16,20,2,False
2015-08-23,23,1,False
2015-08-30,18,1,False
2015-09-06,16,2,False
2015-09-13,25,2,False
2015-09-20,19,1,False
2015-09-27,27,0,False
2015-10-04,26,2,False
2015-10-11,26,2,False
2015-10-18,21,2,False
2015-10-25,19,0,False
2015-11-01,20,1,False
2015-11-08,26,1,False
2015-11-15,20,1,False
2015-11-22,17,0,False
2015-11-29,22,0,False
2015-12-06,25,0,False
2015-12-13,23,1,False
2015-12-20,19,2,False
2015-12-27,26,1,False
2016-01-03,32,1,False
2016-01-10,37,1,False
2016-01-17,54,1,False
2016-01-24,85,2,False
2016-01-31,100,1,False
2016-02-07,76,2,False
2016-02-14,63,2,False
2016-02-21,52,1,False
2016-02-28,45,0,False
2016-03-06,37,1,False
2016-03-13,36,1,False
2016-03-20,38,1,False
2016-03-27,39,1,False
2016-04-03,42,1,False
2016-04-10,57,1,False
2016-04-17,46,1,False
2016-04-24,21,0,False
2016-05-01,24,1,False
2016-05-08,18,1,False
2016-05-15,22,1,False
2016-05-22,23,1,False
2016-05-29,17,1,False
2016-06-05,19,0,False
2016-06-12,16,1,False
2016-06-19,16,1,False
2016-06-26,17,1,False
2016-07-03,15,1,False
2016-07-10,16,0,False
2016-07-17,19,1,False
2016-07-24,20,1,False
2016-07-31,19,1,False
2016-08-07,14,1,False
2016-08-14,15,0,False
2016-08-21,23,1,False
2016-08-28,17,1,False
2016-09-04,15,2,False
2016-09-11,16,1,False
2016-09-18,17,1,False
2016-09-25,22,1,False
2016-10-02,22,1,False
2016-10-09,20,1,False
2016-10-16,22,1,False
2016-10-23,23,1,False
2016-10-30,19,1,False
2016-11-06,24,1,False
2016-11-13,22,0,False
2016-11-20,16,1,False
2016-11-27,20,1,False
2016-12-04,22,1,False
2016-12-11,21,1,False
2016-12-18,20,0,False
2016-12-25,21,1,False
2017-01-01,37,1,False
2017-01-08,33,1,False
2017-01-15,42,1,False
2017-01-22,63,1,False
2017-01-29,74,1,False
2017-02-05,69,1,False
2017-02-12,66,1,False
2017-02-19,70,1,False
2017-02-26,56,1,False
2017-03-05,45,1,False
2017-03-12,46,1,False
2017-03-19,40,0,False
2017-03-26,38,0,False
2017-04-02,47,1,False
2017-04-09,55,2,False
2017-04-16,55,1,False
2017-04-23,30,1,False
2017-04-30,25,1,False
2017-05-07,23,1,False
2017-05-14,20,1,False
2017-05-21,17,1,False
2017-05-28,17,1,False
2017-06-04,20,1,False
2017-06-11,20,1,False
2017-06-18,18,1,False
2017-06-25,22,1,False
2017-07-02,19,1,False
2017-07-09,18,1,False
2017-07-16,20,2,False
2017-07-23,19,1,False
2017-07-30,21,1,False
2017-08-06,19,1,False
2017-08-13,17,2,False
2017-08-20,17,1,False
2017-08-27,18,1,False
2017-09-03,15,1,False
2017-09-10,22,1,False
2017-09-17,15,2,False
2017-09-24,25,1,False
2017-10-01,25,1,False
2017-10-08,24,1,False
2017-10-15,22,1,False
2017-10-22,26,1,False
2017-10-29,28,1,False
2017-11-05,28,1,False
2017-11-12,27,1,False
2017-11-19,22,2,False
2017-11-26,32,1,False
2017-12-03,34,1,False
2017-12-10,39,1,False
2017-12-17,59,0,False
2017-12-24,38,1,False
2017-12-31,25,1,True
