,date,microsoft excel,customer service,microsoft office,scheduling,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development
68,2012-09-01,3,45,17,3,16,1,2,72,36,0,0,69,4,74,3,31,30,6,0,28
69,2012-10-01,3,43,15,2,14,1,2,67,35,0,0,69,3,74,3,28,27,5,0,27
70,2012-11-01,3,42,17,2,13,1,2,67,34,0,0,67,3,74,3,27,31,6,0,25
71,2012-12-01,2,46,15,2,13,1,1,62,28,0,0,56,3,72,2,24,26,6,0,25
72,2013-01-01,2,40,18,2,14,1,2,67,36,0,0,64,3,76,3,27,35,7,0,29
73,2013-02-01,2,45,15,2,13,1,2,64,36,0,0,64,3,71,2,28,31,7,0,26
74,2013-03-01,2,40,16,2,13,1,2,67,35,0,0,68,4,73,3,31,30,5,0,23
75,2013-04-01,2,42,15,3,12,1,1,74,32,0,0,73,4,76,3,34,32,6,0,23
76,2013-05-01,2,46,13,2,11,2,1,73,28,0,0,66,4,81,3,34,30,7,0,25
77,2013-06-01,2,48,13,2,10,1,1,83,28,0,0,64,3,85,3,33,33,6,0,27
78,2013-07-01,2,58,11,2,7,1,1,81,23,0,0,52,2,79,3,35,26,4,0,20
79,2013-08-01,2,62,14,2,9,1,1,75,25,0,0,53,3,76,3,33,25,4,0,21
80,2013-09-01,2,60,15,2,12,1,1,68,32,0,0,49,2,71,3,33,30,4,0,27
81,2013-10-01,2,55,14,2,11,1,1,69,30,0,0,56,3,74,3,30,30,3,0,26
82,2013-11-01,2,54,12,2,10,1,1,68,27,0,0,49,3,70,3,26,29,4,0,22
83,2013-12-01,1,63,13,2,9,1,1,67,22,0,0,47,3,67,2,25,26,3,0,20
84,2014-01-01,2,60,15,2,9,1,1,69,28,0,0,52,3,68,2,26,30,5,0,21
85,2014-02-01,2,57,13,2,11,1,1,68,33,0,0,58,3,68,2,30,32,5,0,24
86,2014-03-01,2,52,14,2,10,1,1,70,28,0,0,57,3,71,3,32,32,4,0,26
87,2014-04-01,2,51,11,2,8,1,1,64,28,0,0,52,3,68,2,30,25,3,0,24
88,2014-05-01,2,55,10,2,7,1,1,68,26,0,0,48,2,71,2,29,25,2,0,20
89,2014-06-01,2,56,10,2,7,1,1,69,26,0,0,50,2,76,2,32,23,3,0,20
90,2014-07-01,2,43,8,2,6,1,0,54,22,0,0,42,2,59,3,25,20,2,0,18
91,2014-08-01,1,41,10,2,6,1,1,47,23,0,0,36,2,54,4,22,17,4,0,18
92,2014-09-01,2,42,9,2,8,1,1,46,28,0,0,36,2,48,4,20,22,2,0,17
93,2014-10-01,1,40,8,2,7,1,1,42,24,0,0,36,2,46,4,19,21,2,0,16
94,2014-11-01,1,37,8,1,6,1,1,39,21,0,0,31,2,43,4,18,20,2,0,13
95,2014-12-01,1,42,7,1,5,1,1,37,17,0,0,29,2,38,3,15,19,2,0,12
96,2015-01-01,1,34,7,1,5,1,0,35,21,0,0,29,2,36,4,15,16,1,0,13
97,2015-02-01,2,34,6,1,6,1,0,32,22,0,0,30,2,36,3,14,15,2,0,14
98,2015-03-01,2,33,6,1,5,1,1,34,22,0,0,32,2,36,4,17,17,2,0,15
99,2015-04-01,2,36,5,2,5,1,0,37,21,0,0,31,2,39,4,18,17,0,0,15
100,2015-05-01,1,38,6,1,5,1,1,39,20,0,0,29,2,42,4,17,15,1,0,11
101,2015-06-01,2,42,6,2,5,1,1,46,18,0,0,36,2,48,5,20,17,2,0,12
102,2015-07-01,2,67,13,3,8,1,1,85,28,0,0,77,3,84,3,40,34,2,0,21
103,2015-08-01,2,69,15,3,10,2,1,84,29,0,0,73,3,83,3,40,30,2,0,26
104,2015-09-01,2,68,15,3,13,1,1,75,37,0,0,69,3,77,3,36,39,3,0,26
105,2015-10-01,2,68,13,3,12,2,1,74,33,0,0,71,3,74,3,32,35,3,0,30
106,2015-11-01,2,69,12,3,11,1,1,70,29,0,0,57,3,77,2,31,43,2,0,21
107,2015-12-01,2,78,12,2,9,1,1,69,26,0,0,60,3,74,2,29,29,1,0,19
108,2016-01-01,2,68,11,3,8,1,1,73,29,0,0,51,3,80,3,31,32,2,0,22
109,2016-02-01,2,75,9,3,9,2,1,74,34,0,0,58,3,74,3,33,35,3,0,27
110,2016-03-01,2,71,8,3,8,1,1,78,30,0,0,63,3,80,2,39,39,2,0,22
111,2016-04-01,1,66,8,3,7,1,1,77,29,0,0,58,3,81,2,40,40,2,0,20
112,2016-05-01,1,71,8,3,7,1,1,83,26,0,0,57,3,89,2,39,36,1,0,25
113,2016-06-01,1,75,8,3,7,1,0,88,25,0,0,63,3,93,3,41,32,2,0,21
114,2016-07-01,1,83,7,3,6,1,0,91,24,0,0,58,3,92,2,44,33,2,0,23
115,2016-08-01,2,79,10,3,8,1,0,92,28,0,0,62,3,89,3,44,26,3,0,23
116,2016-09-01,2,76,10,3,9,1,1,79,33,0,0,57,3,79,2,39,30,2,0,22
117,2016-10-01,2,72,8,3,8,1,1,78,31,0,0,54,3,80,5,38,36,1,0,23
118,2016-11-01,1,76,8,3,7,1,1,75,29,0,0,54,3,80,4,34,36,1,0,23
119,2016-12-01,1,88,9,3,7,2,1,79,26,0,0,50,3,78,5,33,30,1,0,23
120,2017-01-01,2,79,10,3,7,1,1,77,33,0,0,56,3,86,5,35,37,2,0,27
121,2017-02-01,2,80,8,3,8,1,1,79,36,0,0,64,4,83,5,38,41,2,0,27
122,2017-03-01,2,75,9,3,8,1,1,80,33,0,0,62,3,88,5,39,34,3,0,27
123,2017-04-01,2,79,8,3,8,1,1,88,32,0,0,59,6,87,5,43,34,1,0,31
124,2017-05-01,2,85,9,3,7,1,1,92,29,0,0,61,3,96,4,43,31,3,0,27
125,2017-06-01,2,94,9,3,6,2,1,98,28,0,0,63,3,96,6,49,34,4,0,27
126,2017-07-01,2,100,8,3,6,1,1,100,26,0,0,59,4,100,5,48,35,1,0,30
127,2017-08-01,2,95,9,3,7,2,0,94,30,0,0,63,3,87,5,46,32,2,0,30
128,2017-09-01,2,92,8,3,9,2,0,85,31,0,0,61,3,80,3,41,41,2,0,21
129,2017-10-01,2,91,7,3,7,2,1,84,31,0,0,61,3,83,4,38,42,2,0,25
130,2017-11-01,1,92,7,3,7,1,1,82,27,0,0,55,3,82,3,37,37,2,0,22
131,2017-12-01,1,99,7,3,7,2,0,81,26,0,0,52,3,78,3,37,31,1,0,23
