,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
74,2013-03-01,4,43,25,3,67,1,0,2,16,0,0,70,54,0,0,57,2,62,1,18,0,9,0,9,71
75,2013-04-01,2,44,24,3,65,1,0,3,14,0,0,68,53,0,0,47,1,70,2,20,0,7,0,12,70
76,2013-05-01,4,47,21,2,63,1,0,2,13,0,0,67,47,0,0,47,1,67,3,22,0,4,0,9,60
77,2013-06-01,3,53,21,3,60,1,0,1,8,0,0,71,40,0,0,46,1,73,2,23,0,4,0,7,57
78,2013-07-01,2,56,21,2,58,1,0,2,9,0,0,77,41,0,0,44,1,70,1,23,0,5,0,17,52
79,2013-08-01,4,51,26,2,61,1,0,3,13,0,0,73,40,0,0,49,1,68,2,23,0,2,0,6,48
80,2013-09-01,4,52,26,2,62,1,0,3,16,0,0,72,53,0,0,40,2,68,1,22,0,2,0,9,55
81,2013-10-01,4,53,23,2,56,1,0,2,13,0,0,69,50,0,0,52,1,58,2,26,0,6,0,13,63
82,2013-11-01,4,52,23,2,85,1,0,2,11,0,0,70,40,0,0,43,1,63,2,24,0,5,0,5,53
83,2013-12-01,4,56,24,2,68,1,0,1,11,0,0,67,38,0,0,31,1,63,1,22,0,4,0,6,49
84,2014-01-01,4,62,22,3,61,1,0,3,10,0,0,69,48,0,0,36,1,75,2,24,0,3,0,10,57
85,2014-02-01,3,55,19,2,68,0,0,2,11,0,0,70,52,0,0,43,1,72,1,24,0,4,0,12,52
86,2014-03-01,4,48,24,2,60,1,0,3,13,0,0,76,52,0,0,48,2,87,2,27,0,5,0,8,53
87,2014-04-01,4,49,26,2,64,1,0,3,11,0,0,74,51,0,0,48,1,100,1,27,0,3,0,8,56
88,2014-05-01,5,50,25,2,62,1,0,3,10,0,0,71,54,0,0,47,2,60,2,24,0,6,0,7,49
89,2014-06-01,4,61,20,2,62,1,0,3,8,0,0,78,38,0,0,43,2,67,2,28,0,4,0,7,42
90,2014-07-01,2,63,22,3,63,1,0,2,8,0,0,80,46,0,0,45,1,63,2,30,0,3,0,17,51
91,2014-08-01,2,89,15,2,60,1,0,1,6,0,0,75,35,0,0,25,1,66,1,19,0,1,0,9,28
92,2014-09-01,2,93,15,2,64,0,0,2,7,0,0,76,39,0,0,28,1,63,1,19,0,3,0,8,32
93,2014-10-01,2,84,13,2,60,1,0,1,7,0,0,77,40,0,0,23,1,59,1,21,0,2,0,4,35
94,2014-11-01,3,75,16,3,80,1,0,1,7,0,0,70,38,0,0,33,1,62,1,15,0,5,0,7,41
95,2014-12-01,1,92,16,2,65,1,0,2,7,0,0,74,32,0,0,30,1,60,1,15,0,2,0,7,39
96,2015-01-01,2,80,16,2,66,1,0,2,8,0,0,74,43,0,0,31,1,61,1,19,0,2,0,5,36
97,2015-02-01,3,74,18,4,65,1,0,2,8,0,0,70,48,0,0,44,1,62,1,18,0,4,0,5,40
98,2015-03-01,2,83,12,3,65,1,0,2,8,0,0,74,46,0,0,37,1,61,1,23,0,0,0,6,41
99,2015-04-01,2,78,14,3,63,1,0,3,8,0,0,72,47,0,0,41,1,64,2,22,0,4,0,12,41
100,2015-05-01,3,83,13,2,62,0,0,2,5,0,0,73,40,0,0,35,2,68,1,24,0,3,0,8,38
101,2015-06-01,4,82,16,3,65,1,0,2,8,0,0,83,37,0,0,49,1,69,3,27,0,3,0,6,37
102,2015-07-01,2,60,15,2,65,1,0,2,8,0,0,81,43,0,0,46,1,75,2,28,0,3,0,9,39
103,2015-08-01,3,59,21,4,59,1,0,2,11,0,0,74,45,0,0,38,1,75,3,24,0,5,0,7,37
104,2015-09-01,4,72,21,2,62,1,0,2,12,0,0,79,53,0,0,41,1,68,4,26,0,4,0,14,42
105,2015-10-01,4,73,21,3,61,1,0,3,11,0,0,75,58,0,0,45,1,67,3,26,0,2,0,11,48
106,2015-11-01,3,64,19,3,78,1,0,2,9,0,0,74,46,0,0,39,1,65,3,25,0,0,0,6,45
107,2015-12-01,3,72,17,2,60,1,0,2,10,0,0,70,37,0,0,41,1,66,1,26,0,2,0,8,36
108,2016-01-01,2,70,16,3,59,1,0,2,7,0,0,81,41,0,0,37,2,65,1,25,0,4,0,7,35
109,2016-02-01,3,73,13,3,64,1,0,2,8,0,0,78,51,0,0,39,1,75,1,32,0,2,0,9,43
110,2016-03-01,2,73,14,3,63,1,0,3,7,0,0,76,43,0,0,37,1,66,2,26,0,2,0,8,39
111,2016-04-01,3,67,12,4,63,1,0,2,8,0,0,73,48,0,0,42,1,73,2,32,0,3,0,13,37
112,2016-05-01,2,72,12,2,62,1,0,2,7,0,0,82,39,0,0,37,1,74,2,27,0,2,0,5,34
113,2016-06-01,2,73,10,2,58,1,0,2,7,0,0,100,36,0,0,39,1,80,2,34,0,0,0,6,33
114,2016-07-01,2,77,10,2,61,1,0,2,6,0,0,91,37,0,0,30,2,79,1,28,0,0,0,5,26
115,2016-08-01,2,76,16,3,58,0,0,2,8,0,0,89,45,0,0,40,1,74,1,29,0,3,0,6,32
116,2016-09-01,3,80,13,3,58,1,0,2,7,0,0,76,54,0,0,39,0,71,2,31,0,0,0,12,39
117,2016-10-01,3,76,14,3,59,1,0,2,8,0,0,73,49,0,0,39,1,66,2,30,0,0,0,5,38
118,2016-11-01,2,73,12,2,79,1,0,2,7,0,0,69,36,0,0,35,1,64,1,28,0,0,0,4,31
119,2016-12-01,2,91,9,1,60,1,0,2,6,0,0,73,29,0,0,26,1,58,1,22,0,0,0,9,31
120,2017-01-01,3,86,13,2,57,1,0,2,7,0,0,72,44,0,0,32,1,72,2,26,0,3,0,10,32
121,2017-02-01,2,84,12,2,63,1,0,2,7,0,0,75,46,0,0,34,1,69,1,32,0,2,0,9,35
122,2017-03-01,3,79,14,3,60,1,0,1,5,0,0,79,39,0,0,33,1,69,1,31,0,2,0,6,33
123,2017-04-01,3,76,12,4,61,1,0,3,6,0,0,76,52,0,0,30,2,72,1,27,0,0,0,8,36
124,2017-05-01,2,85,10,2,57,1,0,2,6,0,0,77,40,0,0,35,2,74,2,27,0,2,0,9,31
125,2017-06-01,2,95,9,2,60,1,0,2,5,0,0,82,32,0,0,34,1,75,2,34,0,2,0,6,24
126,2017-07-01,3,100,10,3,60,1,0,2,6,0,0,78,31,0,0,36,0,76,1,32,0,0,0,5,28
127,2017-08-01,2,92,14,4,57,1,0,2,7,0,0,82,42,0,0,36,1,69,2,36,0,2,0,6,32
128,2017-09-01,2,97,10,2,62,1,0,2,8,0,0,73,40,0,0,28,1,65,2,30,0,0,0,6,29
129,2017-10-01,2,97,7,2,57,1,0,1,7,0,0,74,48,0,0,26,1,68,2,27,0,0,0,7,30
130,2017-11-01,2,94,9,3,72,1,0,1,6,0,0,75,39,0,0,30,1,64,2,25,0,0,0,5,29
131,2017-12-01,2,100,9,2,58,2,0,2,6,0,0,69,35,0,0,34,1,56,1,22,0,0,0,8,29
