,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
68,2012-09-01,3,42,22,3,56,1,0,1,18,0,2,75,35,0,1,53,1,80,3,14,29,6,0,14,59
69,2012-10-01,3,53,17,2,51,1,0,1,13,0,3,68,30,0,1,55,2,76,2,16,27,2,0,10,51
70,2012-11-01,2,49,16,2,69,1,0,1,12,0,1,66,24,0,1,47,1,69,3,12,18,5,0,10,48
71,2012-12-01,3,48,18,2,56,1,0,1,14,0,2,61,21,0,1,45,1,69,3,13,19,10,0,9,52
72,2013-01-01,3,45,22,2,55,1,0,1,15,0,1,66,34,0,1,58,1,82,3,13,18,6,0,11,85
73,2013-02-01,3,45,23,2,62,1,0,2,17,0,2,71,39,0,2,59,3,75,3,16,29,7,0,15,71
74,2013-03-01,3,45,18,2,56,0,0,1,13,0,2,68,25,0,1,54,2,77,3,16,22,4,0,14,59
75,2013-04-01,3,45,16,2,61,1,0,1,14,0,2,75,34,0,1,56,1,80,3,17,21,9,0,12,62
76,2013-05-01,2,54,15,2,60,0,0,1,11,0,1,84,25,0,1,54,2,80,4,20,9,3,0,10,52
77,2013-06-01,2,55,13,3,58,0,0,1,8,0,1,86,21,0,1,51,1,86,4,17,13,6,0,9,46
78,2013-07-01,2,54,16,2,59,0,0,2,9,0,1,86,24,0,1,54,1,79,3,17,14,4,0,9,47
79,2013-08-01,2,54,22,2,56,1,0,1,13,0,1,79,25,0,1,57,1,79,4,17,15,7,0,12,47
80,2013-09-01,3,63,18,2,54,0,0,1,12,0,1,74,29,0,1,37,1,69,3,15,18,5,0,6,36
81,2013-10-01,2,62,14,2,50,1,0,1,12,0,1,72,26,0,1,40,1,75,3,15,19,4,0,6,44
82,2013-11-01,3,54,15,2,70,1,0,1,11,0,1,71,26,0,2,40,2,79,2,14,20,5,0,10,41
83,2013-12-01,1,65,14,2,54,0,0,1,10,0,1,66,21,0,1,34,2,65,2,11,12,5,0,7,34
84,2014-01-01,2,60,16,2,52,0,0,1,10,0,1,73,28,0,1,43,2,68,3,14,16,6,0,9,49
85,2014-02-01,3,57,16,2,61,1,0,1,12,0,1,73,33,0,0,51,2,69,3,18,23,3,0,10,51
86,2014-03-01,2,56,16,2,56,1,0,1,10,0,1,73,28,0,0,50,2,71,2,17,17,3,0,11,44
87,2014-04-01,3,63,14,3,56,1,0,1,10,0,1,79,28,0,0,48,2,76,3,18,20,2,0,13,42
88,2014-05-01,3,63,11,2,59,0,0,1,8,0,1,84,25,0,1,40,1,75,3,21,15,5,0,8,37
89,2014-06-01,2,60,13,2,58,0,0,1,9,0,1,92,22,0,1,48,2,81,3,17,18,3,0,9,41
90,2014-07-01,2,60,12,2,63,0,0,1,8,0,0,95,27,0,1,60,2,84,3,19,14,4,0,9,44
91,2014-08-01,2,70,16,2,59,1,0,1,10,0,1,85,29,0,1,43,1,78,3,18,19,4,0,10,39
92,2014-09-01,2,68,16,2,53,1,0,1,12,0,1,82,30,0,1,42,1,75,2,19,17,3,0,8,38
93,2014-10-01,2,69,11,2,54,0,0,1,9,0,1,79,27,0,1,39,1,73,3,18,21,3,0,10,37
94,2014-11-01,1,65,11,2,63,0,0,1,8,0,1,75,22,0,1,34,1,73,2,14,19,2,0,11,39
95,2014-12-01,1,73,11,2,52,1,0,1,8,0,1,70,21,0,1,33,1,72,2,17,15,2,0,7,33
96,2015-01-01,2,70,13,2,55,0,0,1,9,0,1,73,25,0,0,35,1,73,3,20,15,4,0,10,35
97,2015-02-01,2,72,11,2,57,1,0,1,9,0,1,73,28,0,0,37,2,70,3,18,15,1,0,17,34
98,2015-03-01,2,72,10,2,54,1,0,1,8,0,1,81,27,0,1,45,1,77,3,22,20,1,0,9,33
99,2015-04-01,2,76,10,3,57,0,0,1,8,0,1,88,31,0,1,42,1,82,2,21,25,2,0,13,37
100,2015-05-01,2,77,9,2,58,0,0,1,8,0,1,88,23,0,1,40,1,82,3,20,14,1,0,11,31
101,2015-06-01,2,81,9,2,59,0,0,1,6,0,0,97,19,0,1,45,1,92,2,23,19,2,0,13,30
102,2015-07-01,2,66,12,3,63,1,0,1,6,0,0,92,24,0,1,52,2,92,4,19,19,5,0,10,37
103,2015-08-01,2,68,20,3,59,1,0,1,12,0,1,90,28,0,0,60,1,89,3,20,23,3,0,12,41
104,2015-09-01,3,62,16,3,58,0,0,1,15,0,1,80,38,0,1,56,1,75,2,17,27,3,0,13,41
105,2015-10-01,3,64,13,3,56,1,0,1,13,0,1,77,35,0,1,60,1,83,3,18,21,5,0,18,40
106,2015-11-01,2,65,12,3,65,0,0,1,13,0,1,74,27,0,1,47,1,79,3,15,26,2,0,10,39
107,2015-12-01,2,72,14,2,52,0,0,1,10,0,1,72,23,0,1,45,1,75,2,13,16,3,0,7,30
