,date,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development
54,2011-07-01,72,0,0,2,9,0,0,89,28,0,0,66,2,69,2,34,0,13,0,21
55,2011-08-01,68,1,0,3,10,0,0,79,21,0,0,60,2,77,3,27,0,12,0,17
56,2011-09-01,64,0,0,1,16,0,0,72,38,0,0,54,4,85,3,29,0,16,0,21
57,2011-10-01,66,1,0,3,15,0,0,72,32,0,0,61,3,73,2,29,0,11,0,11
58,2011-11-01,82,0,0,3,14,0,0,72,26,0,0,53,3,73,3,24,0,17,0,23
59,2011-12-01,62,1,0,2,12,0,0,60,19,0,0,61,3,72,2,25,0,13,0,18
60,2012-01-01,58,1,0,3,14,0,0,67,30,0,0,59,2,66,3,24,0,10,0,25
61,2012-02-01,62,1,0,2,11,0,0,63,30,0,0,52,3,59,3,18,0,14,0,18
62,2012-03-01,60,1,0,3,12,0,0,69,28,0,0,54,1,63,3,24,0,5,0,16
63,2012-04-01,67,1,0,3,14,0,0,68,29,0,0,61,3,70,1,32,0,19,0,26
64,2012-05-01,75,0,0,2,12,0,0,76,25,0,0,56,3,73,3,33,0,9,0,34
65,2012-06-01,62,1,0,3,11,0,0,81,21,0,0,57,3,71,2,30,0,7,0,12
66,2012-07-01,69,1,0,2,10,0,0,86,20,0,0,58,3,82,3,35,0,11,0,18
67,2012-08-01,64,1,0,3,11,0,0,78,19,0,0,58,4,84,3,28,0,12,0,37
68,2012-09-01,69,0,0,2,15,0,0,73,33,0,0,52,2,75,2,29,0,10,0,24
69,2012-10-01,55,1,0,2,12,0,0,67,33,0,0,51,2,69,2,28,0,8,0,28
70,2012-11-01,85,1,0,2,14,0,0,68,29,0,0,53,1,72,2,23,0,10,0,14
71,2012-12-01,63,1,0,2,12,0,0,62,27,0,0,41,2,70,1,25,0,10,0,18
72,2013-01-01,64,1,0,3,13,0,0,68,33,0,0,56,3,77,1,22,0,7,0,16
73,2013-02-01,63,1,0,4,11,0,0,62,35,0,0,60,2,73,2,22,0,8,0,17
74,2013-03-01,63,1,0,4,13,0,0,64,34,0,0,57,3,67,2,30,0,9,0,26
75,2013-04-01,64,1,0,3,11,0,0,74,36,0,0,66,3,82,2,35,0,6,0,29
76,2013-05-01,65,1,0,2,12,0,0,75,27,0,0,54,3,79,2,33,0,6,0,13
77,2013-06-01,65,1,0,3,10,0,0,82,23,0,0,59,2,76,4,34,0,9,0,15
78,2013-07-01,68,1,0,2,9,0,0,90,23,0,0,54,1,75,2,33,0,5,0,15
79,2013-08-01,72,1,0,3,9,0,0,82,20,0,0,55,4,77,2,32,0,4,0,15
80,2013-09-01,63,1,0,2,15,0,0,74,41,0,0,53,4,83,3,25,0,5,0,22
81,2013-10-01,64,1,0,2,12,0,0,65,34,0,0,56,2,72,1,29,0,19,0,23
82,2013-11-01,74,0,0,3,12,0,0,73,30,0,0,52,3,78,2,26,0,8,0,26
83,2013-12-01,61,1,0,1,9,0,0,66,22,0,0,50,2,59,2,20,0,5,0,19
84,2014-01-01,56,1,0,2,12,0,0,70,28,0,0,52,3,73,2,25,0,4,0,25
85,2014-02-01,57,1,0,2,10,0,0,66,35,0,0,51,3,58,2,22,0,7,0,18
86,2014-03-01,60,1,0,3,10,0,0,69,27,0,0,57,2,73,4,28,0,12,0,18
87,2014-04-01,60,0,0,3,11,0,0,68,32,0,0,59,2,77,1,34,0,6,0,24
88,2014-05-01,64,1,0,3,9,0,0,74,29,0,0,63,3,79,2,28,0,4,0,20
89,2014-06-01,68,1,0,3,11,0,0,82,30,0,0,60,3,87,2,39,0,8,0,22
90,2014-07-01,67,1,0,3,8,0,0,88,21,0,0,55,4,79,4,36,0,7,0,21
91,2014-08-01,68,1,0,2,8,0,0,80,26,0,0,63,2,74,2,34,0,8,0,18
92,2014-09-01,65,1,0,2,11,0,0,74,34,0,0,59,4,90,3,38,0,9,0,23
93,2014-10-01,61,1,0,3,11,0,0,71,34,0,0,64,2,68,2,23,0,6,0,26
94,2014-11-01,68,1,0,2,10,0,0,67,29,0,0,47,2,74,3,28,0,0,0,30
95,2014-12-01,59,0,0,2,8,0,0,68,25,0,0,56,2,69,2,23,0,4,0,19
96,2015-01-01,58,1,0,4,8,0,0,70,28,0,0,54,2,67,2,29,0,0,0,18
97,2015-02-01,56,1,0,3,9,0,0,68,31,0,0,60,3,75,1,26,0,5,0,19
98,2015-03-01,63,2,0,3,9,0,0,70,32,0,0,64,2,73,1,30,0,9,0,23
99,2015-04-01,67,1,0,3,9,0,0,77,30,0,0,68,2,79,3,36,0,6,0,26
100,2015-05-01,71,1,0,4,9,0,0,89,27,0,0,57,2,84,2,40,0,5,0,20
101,2015-06-01,66,1,0,4,8,0,0,88,18,0,0,68,4,88,2,41,0,7,0,21
102,2015-07-01,67,1,0,2,7,0,0,85,20,0,0,65,3,82,1,41,0,0,0,14
103,2015-08-01,67,1,0,4,5,0,0,86,22,0,0,66,2,78,3,38,0,5,0,18
104,2015-09-01,65,0,0,3,9,0,0,79,44,0,0,60,5,77,2,35,0,11,0,14
105,2015-10-01,65,1,0,3,12,0,0,77,33,0,0,68,3,72,2,29,0,4,0,19
106,2015-11-01,76,2,0,2,9,0,0,73,32,0,0,51,2,73,2,24,0,8,0,23
107,2015-12-01,57,1,0,3,10,0,0,68,24,0,0,52,2,68,2,31,0,7,0,19
108,2016-01-01,59,0,0,2,7,0,0,70,25,0,0,49,1,77,2,30,0,3,0,26
109,2016-02-01,66,1,0,2,7,0,0,68,36,0,0,50,2,70,3,30,0,3,0,18
110,2016-03-01,67,0,0,3,7,0,0,72,34,0,0,51,2,78,1,35,0,13,0,14
111,2016-04-01,68,1,0,3,6,0,0,70,32,0,0,47,2,72,3,35,0,3,0,27
112,2016-05-01,81,1,0,2,6,0,0,100,28,0,0,48,1,100,2,43,0,6,0,23
113,2016-06-01,64,1,0,2,5,0,0,85,18,0,0,52,1,74,1,43,0,5,0,15
114,2016-07-01,69,1,0,2,6,0,0,83,17,0,0,45,2,84,2,38,0,3,0,11
115,2016-08-01,67,0,0,2,6,0,0,79,26,0,0,48,1,82,1,40,0,5,0,24
116,2016-09-01,67,1,0,2,8,0,0,68,32,0,0,46,2,80,2,39,0,5,0,11
117,2016-10-01,59,1,0,2,8,0,0,72,30,0,0,44,1,76,2,33,0,5,0,20
118,2016-11-01,73,1,0,1,7,0,0,65,25,0,0,43,2,71,2,29,0,0,0,20
119,2016-12-01,54,1,0,2,5,0,0,68,23,0,0,39,1,73,1,29,0,6,0,19
120,2017-01-01,60,0,0,2,5,0,0,65,28,0,0,40,2,67,2,31,0,0,0,17
121,2017-02-01,60,1,0,2,7,0,0,68,34,0,0,47,3,63,1,35,0,3,0,19
122,2017-03-01,60,1,0,3,7,0,0,69,28,0,0,51,3,79,2,39,0,3,0,22
123,2017-04-01,68,1,0,3,5,0,0,74,27,0,0,53,1,86,1,39,0,3,0,18
124,2017-05-01,67,1,0,3,7,0,0,80,23,0,0,49,3,86,2,45,0,3,0,20
125,2017-06-01,67,1,0,2,4,0,0,86,19,0,0,57,1,85,2,47,0,0,0,19
126,2017-07-01,65,0,0,1,5,0,0,82,17,0,0,44,2,87,1,48,0,3,0,18
127,2017-08-01,69,1,0,2,6,0,0,86,18,0,0,43,1,82,2,50,0,0,0,15
128,2017-09-01,64,1,0,2,6,0,0,80,29,0,0,45,1,79,1,38,0,0,0,13
129,2017-10-01,61,1,0,2,7,0,0,79,25,0,0,46,1,79,2,43,0,3,0,26
130,2017-11-01,71,1,0,3,6,0,0,72,23,0,0,40,2,84,2,37,0,0,0,14
131,2017-12-01,51,1,0,1,5,0,0,70,21,0,0,35,1,74,1,34,0,0,0,16
